"X","Year","Month","Day","Location","State","MinTemp","MaxTemp","Rainfall","Rainfall.1","Evaporation","Sunshine","WindGustDir","WindGustSpeed","WindDir9am","WindDir3pm","WindSpeed9am","WindSpeed3pm","Humidity9am","Humidity3pm","Pressure9am","Pressure3pm","Cloud9am","Cloud3pm","Temp9am","Temp3pm","RainToday","RISK_MM","RainTomorrow"
53675,2008,12,1,"Ballarat","VIC",5.8,17.6,3.2,3.2,NA,NA,"W",52,"W","WNW",26,30,71,37,1008.2,1007.5,6,NA,10.4,15.7,"Yes",0.4,"No"
53676,2008,12,2,"Ballarat","VIC",4.3,19.5,0.4,0.4,NA,NA,"WNW",44,"WNW","WNW",20,24,66,47,1009.3,1007.3,6,8,12.5,17.6,"No",0.6,"No"
53677,2008,12,3,"Ballarat","VIC",9.5,18.8,0.6,0.6,NA,NA,"W",43,"WSW","SW",22,20,82,42,1009.5,1011.5,4,8,11.2,16.5,"No",0.2,"No"
53678,2008,12,4,"Ballarat","VIC",6.7,21.8,0.2,0.2,NA,NA,"NNE",39,"ENE","N",9,22,60,33,1016.2,1012.6,4,NA,14.4,20.6,"No",1.2,"Yes"
53679,2008,12,5,"Ballarat","VIC",13.3,25.6,1.2,1.2,NA,NA,"NW",61,"NNW","NW",30,39,74,40,1006.6,1005.5,6,1,18.3,24.3,"Yes",0,"No"
53680,2008,12,6,"Ballarat","VIC",9.6,23,0,0,NA,NA,"WNW",61,"WNW","WNW",15,39,76,42,1009.6,1005.7,6,6,13.8,20.8,"No",0,"No"
53681,2008,12,7,"Ballarat","VIC",4.6,16.4,0,0,NA,NA,"SW",39,"SW","SW",20,24,71,42,1012.3,1012.1,4,4,9.6,15.6,"No",0.2,"No"
53682,2008,12,8,"Ballarat","VIC",2.9,23.1,0.2,0.2,NA,NA,"NW",43,"SSE","WSW",17,7,64,30,1014,1010.5,4,NA,9.7,20.6,"No",0,"No"
53683,2008,12,9,"Ballarat","VIC",5.3,17.6,0,0,NA,NA,"S",35,"NW","SSE",9,19,55,87,1007.5,1006.4,8,8,13.2,12.4,"No",5,"Yes"
53684,2008,12,10,"Ballarat","VIC",8.3,18.3,5,5,NA,NA,"SE",50,"SSE","SE",28,22,71,43,1011.8,1010.9,6,NA,10.6,18.1,"Yes",0,"No"
53685,2008,12,11,"Ballarat","VIC",6.9,23.8,0,0,NA,NA,"SSE",54,"SE","SSE",28,26,67,28,1013.8,1011,0,NA,12.2,22.9,"No",0,"No"
53686,2008,12,12,"Ballarat","VIC",12.1,19.6,0,0,NA,NA,"SE",41,"NE","E",24,11,47,97,1006.2,1002.2,8,8,18.8,15.3,"No",53.6,"Yes"
53687,2008,12,13,"Ballarat","VIC",13.1,13.9,53.6,53.6,NA,NA,"SW",63,"SSW","SW",26,39,99,99,990.5,996.5,8,8,13.5,13,"Yes",11,"Yes"
53688,2008,12,14,"Ballarat","VIC",10,16.2,11,11,NA,NA,"SSW",46,"SSW","SW",19,26,99,71,1005.8,1007.5,8,7,11,15,"Yes",1.4,"Yes"
53689,2008,12,15,"Ballarat","VIC",8.3,18.7,1.4,1.4,NA,NA,"W",37,"SW","WNW",17,20,72,50,1012.3,1011.2,8,4,9.2,16.9,"Yes",0,"No"
53690,2008,12,16,"Ballarat","VIC",7.9,19.1,0,0,NA,NA,"W",35,"W","W",15,24,84,57,1012.5,1011.6,7,NA,13.4,17.9,"No",1.8,"Yes"
53691,2008,12,17,"Ballarat","VIC",10.3,20.1,1.8,1.8,NA,NA,"ESE",31,"S","WSW",7,7,91,64,1012.3,1008.8,7,8,12.3,18.7,"Yes",0.6,"No"
53692,2008,12,18,"Ballarat","VIC",11.1,19.2,0.6,0.6,NA,NA,"SSW",48,"SW","WSW",15,22,86,49,1005.6,1005.1,7,6,13.6,18.8,"No",1.4,"Yes"
53693,2008,12,19,"Ballarat","VIC",6.3,16.9,1.4,1.4,NA,NA,"SSW",52,"SSW","SSW",26,26,69,41,1014.1,1014.6,6,1,8.9,16.3,"Yes",0,"No"
53694,2008,12,20,"Ballarat","VIC",5.5,21.4,0,0,NA,NA,"SSE",37,"SSE","SE",22,20,76,44,1020.4,1018,6,NA,11.6,20.6,"No",0,"No"
53695,2008,12,21,"Ballarat","VIC",6.8,26.7,0,0,NA,NA,"N",46,"NNE","N",20,28,44,32,1017.6,1013.8,1,NA,19.2,25.2,"No",0,"No"
53696,2008,12,22,"Ballarat","VIC",18.8,32.2,0,0,NA,NA,"NNW",72,"N","NNW",44,41,39,21,1007.6,1004.2,6,2,22.3,30.2,"No",0,"No"
53697,2008,12,23,"Ballarat","VIC",10.5,20.1,0,0,NA,NA,"SSW",44,"SSW","S",26,24,90,52,1013.2,1012.7,8,4,11.2,18,"No",0.2,"No"
53698,2008,12,24,"Ballarat","VIC",7.2,24.8,0.2,0.2,NA,NA,"SW",33,"SE","WSW",15,17,68,27,1013.2,1011.3,2,NA,12.8,24,"No",0,"No"
